hybrid type,size,mean,median,variance,standard deviation,minimum,maximum,repetition distance,entropy,chi-square test chi value,chi-square test p value,kolmogorov-smirnov test d value,kolmogorov-smirnov test p value,autocorrelation (lag 1),autocorrelation (lag 50),autocorrelation (lag 200),bit autocorrelation (lag 1),bit autocorrelation (lag 15),bit autocorrelation (lag 50),bit frequency ratio,pi approximation (monte carlo),difference with actual pi value
chn,1000000.0,2148092619.9747496,2147973985.4444447,1.5369063217124116e+18,1239720141.518077,4088.222222222222,4294961282.3333335,inf,9.965057932384761,1006.9702222222222,0.43053757317036084,0.0009609371600565001,0.3943407085909672,0.00026571292862996837,-0.00015309215007135973,-0.0005515595494280213,-1.1218596311277856e-05,2.0626465198808544e-06,3.2710005525568157e-06,0.5000118680555556,3.1422951111111113,0.0021465940455785613
ilv,1000000.0,2147614094.033293,2147323024.9444444,1.537040741407839e+18,1239774393.124452,2953.222222222222,4294963933.111111,inf,9.965067598103522,993.3815555555555,0.5502736327291201,0.0009134134334806081,0.42431717018454695,-0.00037952780796894674,0.0005318877266835544,-0.0006721190187914048,-3.377685073051835e-05,1.8886335188032232e-05,1.2240486854030789e-05,0.49997033333333335,3.1419342222222224,0.0013944488034023372
none,1000000.0,2147235647.6820557,2146732471.5,1.5375605359920914e+18,1239984027.0924428,870.6666666666666,4294963368.6666665,inf,9.96505198432533,1015.6466666666665,0.3677440483709781,0.0010417085247437046,0.31369900766854053,0.0001435885019152834,-0.00010666713246784423,-0.0007417561390980237,-4.758428948456144e-05,1.0905285234061532e-05,-6.44280413498521e-05,0.5000116979166667,3.1418133333333333,0.0019655511965977666
wmx,1000000.0,2147408983.9038289,2147361155.2444444,1.094250966170742e+18,1039086959.7883757,1764015.288888889,4292676746.288889,39741.822222222225,9.825063875988102,155519.76866666667,0.0,0.07224661943300334,0.0,-0.00029333089923434585,0.0001712869637150758,-0.0005567394576393078,-0.011892339384352442,-7.670366706358739e-05,4.153244849475028e-05,0.49998871180555554,3.661414933333333,0.5198222797435402
xor,1000000.0,2147624200.3971252,2148145209.0,1.5377137636610307e+18,1240045751.8632748,3864.4444444444443,4294965363.5555553,inf,9.96506843188489,992.3635555555556,0.5540689692013367,0.0008683360663387466,0.48745342572892825,0.00016304773587050249,-0.0001380981537253501,-0.0001553525022568101,-6.846220527168627e-05,-4.9479572542793915e-05,1.3117664948962352e-05,0.5000158090277778,3.140950222222222,0.0022614059544214804
